component,type,layer,head,mean_ie,std_ie,consistency,score,n_samples
L24H13,attn,24,13,0.0015343093872070312,0.010530679379527957,0.63,0.0009666149139404296,200
L26H15,attn,26,15,0.0016165542602539062,0.0067946356287265555,0.59,0.0009537670135498046,200
L30H06,attn,30,6,0.0016049385070800782,0.00883824999603699,0.58,0.0009308643341064453,200
L17H06,attn,17,6,0.0016548919677734375,0.009135814815498843,0.56,0.0009267395019531251,200
L43H22,attn,43,22,0.0016355180740356445,0.007774099373784237,0.565,0.000924067711830139,200
L17H13,attn,17,13,0.0015728378295898438,0.006828970747261133,0.585,0.0009201101303100586,200
L24H01,attn,24,1,0.0015202474594116211,0.007385905928019219,0.605,0.0009197497129440307,200
L18H07,attn,18,7,0.0015462923049926758,0.01059096837082545,0.585,0.0009045809984207152,200
L15H14,attn,15,14,0.0017789220809936524,0.0071767720365024015,0.505,0.0008983556509017945,200
L33H06,attn,33,6,0.0014234590530395508,0.004595590438122721,0.63,0.000896779203414917,200
L07H15,attn,7,15,0.001500873565673828,0.004578868238532107,0.585,0.0008780110359191894,200
L34H07,attn,34,7,0.0014391183853149415,0.006005269107392748,0.61,0.0008778622150421143,200
L09H23,attn,9,23,0.0014252471923828125,0.004242042049968301,0.615,0.0008765270233154297,200
L44H04,attn,44,4,0.0014479446411132812,0.005094246141665738,0.6,0.0008687667846679687,200
L31H21,attn,31,21,0.0014343881607055665,0.005056977961769866,0.605,0.0008678048372268677,200
L09H01,attn,9,1,0.0016597795486450195,0.007530129437956704,0.52,0.0008630853652954102,200
L20H01,attn,20,1,0.0013863897323608397,0.004091037302179161,0.62,0.0008595616340637206,200
L17H07,attn,17,7,0.0014890289306640624,0.005665680545462517,0.575,0.0008561916351318359,200
L44H22,attn,44,22,0.0014824533462524413,0.008217815075049125,0.575,0.0008524106740951537,200
L13H22,attn,13,22,0.001518383026123047,0.008321269548333673,0.56,0.0008502944946289064,200
L43H12,attn,43,12,0.0012656736373901367,0.003174940125784418,0.67,0.0008480013370513916,200
L45H06,attn,45,6,0.001361536979675293,0.004955220233829852,0.62,0.0008441529273986816,200
L41H04,attn,41,4,0.0014020395278930664,0.008179843624988293,0.595,0.0008342135190963745,200
L40H22,attn,40,22,0.0016477537155151368,0.018102469505789306,0.505,0.000832115626335144,200
L15H15,attn,15,15,0.0015181303024291992,0.006911580433210234,0.545,0.0008273810148239137,200
L20H02,attn,20,2,0.0014756107330322265,0.007723188619505245,0.56,0.000826342010498047,200
L19H19,attn,19,19,0.0015432071685791016,0.008036949430960824,0.525,0.0008101837635040284,200
L36H22,attn,36,22,0.0013534927368164063,0.008714451760485988,0.595,0.0008053281784057616,200
L19H04,attn,19,4,0.0013310670852661132,0.006085356502332382,0.6,0.0007986402511596679,200
L35H07,attn,35,7,0.0012874984741210937,0.003924608224322212,0.62,0.0007982490539550782,200
L10H00,attn,10,0,0.0014598846435546875,0.006869766784457197,0.545,0.0007956371307373047,200
L36H10,attn,36,10,0.0013313722610473634,0.005379058603635398,0.595,0.0007921664953231812,200
L36H06,attn,36,6,0.0013080883026123048,0.005006579585697123,0.6,0.0007848529815673829,200
L37H24,attn,37,24,0.0014926338195800782,0.012489564236162648,0.525,0.0007836327552795411,200
L10H17,attn,10,17,0.0012834787368774414,0.005119947232089274,0.605,0.000776504635810852,200
L16H01,attn,16,1,0.0012472200393676758,0.004648004717083518,0.62,0.000773276424407959,200
L29H20,attn,29,20,0.0014966630935668945,0.010575719808643429,0.515,0.0007707814931869507,200
L06H20,attn,6,20,0.0013137435913085937,0.007524309916224398,0.585,0.0007685400009155273,200
L07H00,attn,7,0,0.001301093101501465,0.005995879170226115,0.59,0.0007676449298858642,200
L19H16,attn,19,16,0.001303853988647461,0.007969771337946803,0.58,0.0007562353134155273,200
L06H24,attn,6,24,0.0014633512496948242,0.0054123225066894836,0.515,0.0007536258935928344,200
L40H10,attn,40,10,0.0011440896987915039,0.003793113145665786,0.655,0.0007493787527084351,200
L27H08,attn,27,8,0.001300487518310547,0.006263163369824666,0.57,0.0007412778854370117,200
L07H02,attn,7,2,0.0012858295440673828,0.004376182561171398,0.575,0.000739351987838745,200
L11H13,attn,11,13,0.0012160778045654298,0.00319281978136287,0.605,0.000735727071762085,200
L16H02,attn,16,2,0.0012680912017822266,0.006302364556294053,0.575,0.0007291524410247802,200
L08H12,attn,8,12,0.0011852312088012696,0.004986961907283918,0.61,0.0007229910373687744,200
L24H11,attn,24,11,0.0011888551712036133,0.00558223037458092,0.605,0.000719257378578186,200
L38H02,attn,38,2,0.0011603116989135742,0.006232015616513588,0.6,0.0006961870193481445,200
L39H04,attn,39,4,0.0011972284317016601,0.006354666551576119,0.575,0.0006884063482284546,200
L28H01,attn,28,1,0.0012680292129516602,0.006498609268161022,0.54,0.0006847357749938965,200
L28H18,attn,28,18,0.0012449026107788086,0.006819531650064113,0.55,0.0006846964359283448,200
L28H20,attn,28,20,0.0012439537048339845,0.009006604733460818,0.55,0.0006841745376586915,200
L34H08,attn,34,8,0.001300029754638672,0.007486424673914717,0.525,0.0006825156211853028,200
L34H24,attn,34,24,0.0011619234085083008,0.008171784901587343,0.575,0.0006681059598922729,200
L30H01,attn,30,1,0.0012035703659057618,0.008110022309533942,0.555,0.0006679815530776979,200
