component,type,layer,head,mean_ie,consistency,score
L34H11,attn,34,11,0.0010643959045410155,0.45,0.000478978157043457
L36H09,attn,36,9,0.0006813526153564454,0.7,0.00047694683074951173
L13H23,attn,13,23,0.0009481906890869141,0.5,0.00047409534454345703
L23H15,attn,23,15,0.0007647991180419922,0.6,0.00045887947082519533
L04H08,attn,4,8,0.0009153842926025391,0.5,0.00045769214630126954
L38H18,attn,38,18,0.0011209964752197266,0.4,0.0004483985900878907
L14H19,attn,14,19,0.0008057117462158203,0.55,0.00044314146041870124
L40H21,attn,40,21,0.0007373332977294922,0.6,0.0004423999786376953
L33H04,attn,33,4,0.0006792068481445313,0.65,0.0004414844512939454
L39H16,attn,39,16,0.0006270885467529296,0.7,0.0004389619827270507
L11H23,attn,11,23,0.000674581527709961,0.65,0.00043847799301147464
L40H10,attn,40,10,0.0007930278778076171,0.55,0.00043616533279418947
L43H24,attn,43,24,0.0005688190460205079,0.75,0.0004266142845153809
L45H14,attn,45,14,0.0010653495788574218,0.4,0.0004261398315429687
L30H05,attn,30,5,0.0007083415985107422,0.6,0.0004250049591064453
L42H01,attn,42,1,0.00076751708984375,0.55,0.0004221343994140625
L38H08,attn,38,8,0.0005505561828613281,0.75,0.00041291713714599606
L39H04,attn,39,4,0.0009098529815673828,0.45,0.00040943384170532226
L42H10,attn,42,10,0.0007430076599121094,0.55,0.0004086542129516602
L45H20,attn,45,20,0.0009080886840820313,0.45,0.00040863990783691407
L31H19,attn,31,19,0.0008127689361572266,0.5,0.0004063844680786133
L45H05,attn,45,5,0.0008065700531005859,0.5,0.00040328502655029297
L45H19,attn,45,19,0.000576019287109375,0.7,0.00040321350097656246
L32H06,attn,32,6,0.0007283687591552734,0.55,0.00040060281753540044
L33H06,attn,33,6,0.000666666030883789,0.6,0.0003999996185302734
L07H09,attn,7,9,0.0006101608276367187,0.65,0.0003966045379638672
L46H23,attn,46,23,0.0007173538208007813,0.55,0.0003945446014404297
L24H16,attn,24,16,0.0008734226226806641,0.45,0.0003930401802062988
L42H03,attn,42,3,0.0007823944091796875,0.5,0.00039119720458984374
L29H10,attn,29,10,0.0008543491363525391,0.45,0.00038445711135864257
L35H21,attn,35,21,0.0007505416870117188,0.5,0.0003752708435058594
L26H11,attn,26,11,0.0006105899810791016,0.6,0.0003663539886474609
L39H15,attn,39,15,0.0006658077239990234,0.55,0.0003661942481994629
L30H09,attn,30,9,0.00072784423828125,0.5,0.000363922119140625
L21H00,attn,21,0,0.000605630874633789,0.6,0.0003633785247802734
L02H01,attn,2,1,0.0006035804748535156,0.6,0.00036214828491210933
L01H00,attn,1,0,0.0006376266479492188,0.55,0.00035069465637207033
L26H10,attn,26,10,0.0007732868194580078,0.45,0.0003479790687561035
L12H18,attn,12,18,0.0007710456848144531,0.45,0.0003469705581665039
L43H04,attn,43,4,0.0006922245025634766,0.5,0.0003461122512817383
L47H09,attn,47,9,0.0008580207824707032,0.4,0.0003432083129882813
L36H13,attn,36,13,0.0004524707794189453,0.75,0.00033935308456420896
L27H16,attn,27,16,0.0006143093109130859,0.55,0.0003378701210021973
L21H21,attn,21,21,0.0006603717803955079,0.5,0.00033018589019775393
